STATE NAME,Yes,No,Total,Yes%,No%
ALABAMA,22000,179000,201000,10.945273631840797,89.05472636815921
ALASKA,4000,25000,29000,13.793103448275861,86.20689655172413
ARIZONA,36000,235000,271000,13.284132841328415,86.71586715867159
ARKANSAS,15000,111000,126000,11.904761904761903,88.09523809523809
CALIFORNIA,119000,638000,757000,15.71994715984148,84.28005284015853
COLORADO,38000,187000,225000,16.88888888888889,83.11111111111111
CONNECTICUT,23000,120000,143000,16.083916083916083,83.91608391608392
DELAWARE,8000,32000,40000,20.0,80.0
FLORIDA,67000,471000,538000,12.453531598513012,87.54646840148699
GEORGIA,40000,333000,373000,10.723860589812332,89.27613941018767
HAWAII,8000,47000,55000,14.545454545454545,85.45454545454545
IDAHO,9000,49000,58000,15.517241379310345,84.48275862068965
ILLINOIS,56000,268000,324000,17.28395061728395,82.71604938271605
INDIANA,37000,209000,246000,15.040650406504067,84.95934959349594
IOWA,23000,89000,112000,20.535714285714285,79.46428571428571
KANSAS,15000,92000,107000,14.018691588785046,85.98130841121495
KENTUCKY,25000,119000,144000,17.36111111111111,82.63888888888889
LOUISIANA,33000,140000,173000,19.07514450867052,80.92485549132948
MAINE,8000,42000,50000,16.0,84.0
MARYLAND,31000,186000,217000,14.285714285714285,85.71428571428571
MASSACHUSETTS,54000,255000,309000,17.475728155339805,82.52427184466019
MICHIGAN,39000,197000,236000,16.52542372881356,83.47457627118644
MINNESOTA,32000,191000,223000,14.349775784753364,85.65022421524664
MISSISSIPPI,15000,101000,116000,12.931034482758621,87.06896551724138
MISSOURI,38000,159000,197000,19.289340101522843,80.71065989847716
MONTANA,8000,31000,39000,20.51282051282051,79.48717948717949
NEBRASKA,11000,56000,67000,16.417910447761194,83.5820895522388
NEVADA,19000,101000,120000,15.833333333333332,84.16666666666667
NEW HAMPSHIRE,9000,43000,52000,17.307692307692307,82.6923076923077
NEW JERSEY,34000,320000,354000,9.6045197740113,90.3954802259887
NEW MEXICO,11000,56000,67000,16.417910447761194,83.5820895522388
NEW YORK,74000,389000,463000,15.982721382289416,84.01727861771057
NORTH CAROLINA,40000,260000,300000,13.333333333333334,86.66666666666667
NORTH DAKOTA,5000,27000,32000,15.625,84.375
OHIO,48000,225000,273000,17.582417582417584,82.41758241758241
OKLAHOMA,33000,129000,162000,20.37037037037037,79.62962962962963
OREGON,31000,120000,151000,20.52980132450331,79.47019867549669
PENNSYLVANIA,42000,277000,319000,13.166144200626958,86.83385579937304
RHODE ISLAND,7000,36000,43000,16.27906976744186,83.72093023255815
SOUTH CAROLINA,34000,201000,235000,14.468085106382977,85.53191489361703
SOUTH DAKOTA,8000,26000,34000,23.52941176470588,76.47058823529412
TENNESSEE,34000,251000,285000,11.929824561403509,88.0701754385965
TEXAS,89000,551000,640000,13.90625,86.09375
UTAH,20000,105000,125000,16.0,84.0
VERMONT,6000,20000,26000,23.076923076923077,76.92307692307693
VIRGINIA,41000,233000,274000,14.963503649635038,85.03649635036497
WASHINGTON,51000,290000,341000,14.95601173020528,85.04398826979472
WEST VIRGINIA,7000,50000,57000,12.280701754385964,87.71929824561403
WISCONSIN,38000,218000,256000,14.84375,85.15625
WYOMING,3000,20000,23000,13.043478260869565,86.95652173913044
