,id,abbreviation,state,factor,yes_percent,latitude,longitude
0,1,AL,Alabama,"48,193",68.85245901639344,32.601011199999995,-86.6807365
1,2,AK,Alaska,"74,058",63.63636363636363,61.3025006,-158.7750198
2,3,AZ,Arizona,"56,508",66.66666666666666,34.1682185,-111.930907
3,4,AR,Arkansas,"45,916",68.42105263157895,34.7519275,-92.13137840000002
4,5,CA,California,"71,785",67.03296703296702,37.2718745,-119.2704153
5,6,CO,Colorado,"69,113",69.47368421052633,38.9979339,-105.55056699999999
6,7,CT,Connecticut,"74,428",69.23076923076923,41.518783500000005,-72.75750699999999
7,8,DE,Delaware,"64,085",66.66666666666666,39.145251,-75.41892059999999
8,9,FL,Florida,"52,582",65.74585635359118,27.9757279,-83.8330166
9,10,GA,Georgia,"56,117",67.54385964912281,32.6781248,-83.22297569999999
10,11,HI,Hawaii,"77,936",70.0,20.46,-157.505
11,12,ID,Idaho,"52,280",60.0,45.4945756,-114.1424303
12,13,IL,Illinois,"63,044",63.80952380952379,39.739318,-89.504139
13,14,IN,Indiana,"54,134",66.30434782608695,39.7662195,-86.441277
14,15,IA,Iowa,"58,706",64.1025641025641,41.9383166,-93.389798
15,16,KS,Kansas,"56,382",64.86486486486487,38.4987789,-98.32007790000002
16,17,KY,Kentucky,"48,332",72.72727272727273,37.8222935,-85.76823990000001
17,18,LA,Louisiana,"46,283",67.79661016949152,30.9733766,-91.42990970000001
18,19,ME,Maine,"55,980",64.0,45.2185133,-69.0148656
19,20,MD,Maryland,"80,711",69.14893617021278,38.806352399999994,-77.2684162
20,21,MA,Massachusetts,"77,385",65.76576576576578,42.062939799999995,-71.718067
21,22,MI,Michigan,"54,840",67.46987951807229,44.9435598,-86.41580490000001
22,23,MN,Minnesota,"68,364",68.6046511627907,46.4418595,-93.3655146
23,24,MS,Mississippi,"43,595",70.58823529411767,32.5851062,-89.8772196
24,25,MO,Missouri,"53,506",60.63829787234043,38.3046615,-92.437099
25,26,MT,Montana,"53,262",60.0,46.6797995,-110.04478300000001
26,27,NE,Nebraska,"59,913",59.09090909090909,41.5008195,-99.680902
27,28,NV,Nevada,"57,932",68.75,38.502032,-117.0230604
28,29,NH,New Hampshire,"73,638",65.21739130434783,44.00123060000001,-71.57992309999999
29,30,NJ,New Jersey,"80,106",70.43478260869566,40.1430058,-74.7311156
30,31,NM,New Mexico,"47,086",77.27272727272727,34.1662325,-106.02606850000001
31,32,NY,New York,"64,783",70.76023391812865,40.7056258,-73.97968
32,33,NC,North Carolina,"52,797",71.68141592920355,35.2145629,-79.8912675
33,34,ND,North Dakota,"62,400",70.0,47.467881899999995,-100.3022655
34,35,OH,Ohio,"54,077",71.42857142857143,40.1903624,-82.6692525
35,36,OK,Oklahoma,"50,051",71.42857142857143,35.309765399999996,-98.71655849999999
36,37,OR,Oregon,"60,123",68.85245901639344,44.1419049,-120.5380993
37,38,PA,Pennsylvania,"59,165",63.91752577319587,40.99459279999999,-77.6046984
38,39,RI,Rhode Island,"62,923",62.5,41.5827282,-71.5064508
39,40,SC,South Carolina,"50,675",64.38356164383562,33.62505,-80.9470381
40,41,SD,South Dakota,"56,871",72.72727272727273,44.2126995,-100.24716409999999
41,42,TN,Tennessee,"51,319",78.72340425531915,35.830521000000005,-85.97859890000001
42,43,TX,Texas,"59,195",75.28089887640449,31.1693363,-100.0768425
43,44,UT,Utah,"68,395",66.66666666666666,39.4997605,-111.547028
44,45,VT,Vermont,"58,271",70.0,43.8717545,-72.4477828
45,46,VA,Virginia,"71,518",66.3157894736842,38.0033855,-79.4587861
46,47,WA,Washington,"70,942",65.46762589928058,38.899348700000004,-77.0145665
47,48,WV,West Virginia,"43,238",65.625,38.920170500000005,-80.1816905
48,49,WI,Wisconsin,"59,300",64.44444444444444,44.7862968,-89.82670490000001
49,50,WY,Wyoming,"61,279",62.5,43.000325,-107.5545669
