,state,county,poverty_percent_15,median_household_income_15
1,US,United States,14.7,"55,775"
2,AL,Alabama,18.5,"44,833"
3,AL,Autauga County,12.7,"56,580"
4,AL,Baldwin County,12.9,"52,387"
5,AL,Barbour County,32.0,"31,433"
6,AL,Bibb County,22.2,"40,767"
7,AL,Blount County,14.7,"50,487"
8,AL,Bullock County,39.6,"28,251"
9,AL,Butler County,25.8,"33,868"
10,AL,Calhoun County,20.0,"42,091"
11,AL,Chambers County,22.4,"35,560"
12,AL,Cherokee County,19.4,"39,144"
13,AL,Chilton County,20.2,"42,767"
14,AL,Choctaw County,24.4,"35,089"
15,AL,Clarke County,22.2,"37,317"
16,AL,Clay County,18.4,"38,908"
17,AL,Cleburne County,18.9,"42,136"
18,AL,Coffee County,16.2,"46,858"
19,AL,Colbert County,18.1,"41,171"
20,AL,Conecuh County,28.3,"29,981"
21,AL,Coosa County,20.3,"36,078"
22,AL,Covington County,22.3,"36,355"
23,AL,Crenshaw County,19.9,"36,759"
24,AL,Cullman County,19.4,"39,290"
25,AL,Dale County,18.5,"45,294"
26,AL,Dallas County,34.6,"29,682"
27,AL,DeKalb County,20.6,"37,305"
28,AL,Elmore County,14.0,"53,548"
29,AL,Escambia County,24.4,"36,840"
30,AL,Etowah County,19.0,"42,145"
31,AL,Fayette County,20.4,"37,085"
32,AL,Franklin County,21.1,"38,535"
33,AL,Geneva County,22.4,"36,289"
34,AL,Greene County,37.7,"25,398"
35,AL,Hale County,28.5,"35,470"
36,AL,Henry County,17.0,"42,501"
37,AL,Houston County,18.3,"43,568"
38,AL,Jackson County,18.4,"40,201"
39,AL,Jefferson County,18.0,"48,415"
40,AL,Lamar County,24.7,"36,520"
41,AL,Lauderdale County,17.3,"43,008"
42,AL,Lawrence County,18.7,"41,771"
43,AL,Lee County,21.0,"46,442"
44,AL,Limestone County,14.3,"55,060"
45,AL,Lowndes County,35.2,"31,117"
46,AL,Macon County,32.2,"29,522"
47,AL,Madison County,13.3,"59,117"
48,AL,Marengo County,23.3,"35,389"
49,AL,Marion County,19.8,"34,977"
50,AL,Marshall County,20.1,"40,599"
51,AL,Mobile County,18.4,"42,530"
52,AL,Monroe County,28.6,"35,163"
53,AL,Montgomery County,22.8,"42,666"
54,AL,Morgan County,16.4,"47,234"
55,AL,Perry County,40.0,"26,218"
56,AL,Pickens County,24.3,"33,160"
57,AL,Pike County,25.9,"34,442"
58,AL,Randolph County,18.7,"37,333"
59,AL,Russell County,23.0,"36,124"
60,AL,St. Clair County,12.4,"53,558"
61,AL,Shelby County,8.5,"70,879"
62,AL,Sumter County,33.2,"25,931"
63,AL,Talladega County,22.4,"37,911"
64,AL,Tallapoosa County,21.7,"39,051"
65,AL,Tuscaloosa County,20.0,"47,868"
66,AL,Walker County,20.6,"37,305"
67,AL,Washington County,22.4,"42,658"
68,AL,Wilcox County,33.2,"23,014"
69,AL,Winston County,18.9,"36,497"
70,AK,Alaska,10.4,"73,391"
71,AK,Aleutians East Borough,17.4,"57,015"
72,AK,Aleutians West Census Area,8.5,"80,695"
73,AK,Anchorage Borough,8.7,"77,791"
74,AK,Bethel Census Area,24.2,"44,849"
75,AK,Bristol Bay Borough,9.0,"66,373"
76,AK,Denali Borough,6.6,"73,000"
77,AK,Dillingham Census Area,20.0,"50,753"
78,AK,Fairbanks North Star Borough,8.1,"70,881"
79,AK,Haines Borough,10.9,"57,876"
80,AK,Hoonah-Angoon Census Area,16.2,"53,726"
81,AK,Juneau Borough,8.0,"82,892"
82,AK,Kenai Peninsula Borough,11.4,"62,025"
83,AK,Ketchikan Gateway Borough,10.3,"65,314"
84,AK,Kodiak Island Borough,7.5,"67,515"
85,AK,Kusilvak Census Area,31.8,"33,511"
86,AK,Lake and Peninsula Borough,19.3,"42,120"
87,AK,Matanuska-Susitna Borough,9.8,"76,601"
88,AK,Nome Census Area,21.4,"52,952"
89,AK,North Slope Borough,12.6,"70,834"
90,AK,Northwest Arctic Borough,26.3,"53,774"
91,AK,Petersburg Borough,7.9,"63,098"
92,AK,Prince of Wales-Hyder Census Area,15.6,"45,305"
93,AK,Sitka Borough,9.2,"68,472"
94,AK,Skagway Municipality,3.7,"65,878"
95,AK,Southeast Fairbanks Census Area,13.5,"60,203"
96,AK,Valdez-Cordova Census Area,9.5,"70,101"
97,AK,Wrangell City and Borough,12.0,"54,500"
98,AK,Yakutat Borough,15.4,"53,795"
99,AK,Yukon-Koyukuk Census Area,23.4,"37,755"
100,AZ,Arizona,17.4,"51,473"
101,AZ,Apache County,38.0,"31,072"
102,AZ,Cochise County,16.9,"43,451"
103,AZ,Coconino County,19.5,"51,955"
104,AZ,Gila County,21.3,"41,346"
105,AZ,Graham County,22.9,"44,169"
106,AZ,Greenlee County,10.1,"58,854"
107,AZ,La Paz County,22.2,"34,835"
108,AZ,Maricopa County,16.3,"56,017"
109,AZ,Mohave County,17.4,"40,360"
110,AZ,Navajo County,28.1,"37,658"
111,AZ,Pima County,18.7,"47,107"
112,AZ,Pinal County,15.8,"50,888"
113,AZ,Santa Cruz County,24.4,"34,893"
114,AZ,Yavapai County,15.1,"47,220"
115,AZ,Yuma County,21.1,"40,426"
116,AR,Arkansas,18.7,"42,046"
117,AR,Arkansas County,20.7,"41,179"
118,AR,Ashley County,19.6,"39,871"
119,AR,Baxter County,16.4,"36,902"
120,AR,Benton County,10.8,"60,294"
121,AR,Boone County,16.5,"40,909"
122,AR,Bradley County,28.0,"37,331"
123,AR,Calhoun County,16.7,"40,526"
124,AR,Carroll County,16.6,"37,587"
125,AR,Chicot County,31.4,"29,968"
126,AR,Clark County,22.5,"37,856"
127,AR,Clay County,20.8,"35,324"
128,AR,Cleburne County,15.6,"43,913"
129,AR,Cleveland County,18.1,"44,123"
130,AR,Columbia County,23.8,"38,057"
131,AR,Conway County,17.8,"43,702"
132,AR,Craighead County,17.3,"42,460"
133,AR,Crawford County,14.4,"46,545"
134,AR,Crittenden County,25.9,"37,371"
135,AR,Cross County,21.5,"39,132"
136,AR,Dallas County,21.3,"33,352"
137,AR,Desha County,30.9,"30,987"
138,AR,Drew County,21.2,"39,339"
139,AR,Faulkner County,14.8,"51,157"
140,AR,Franklin County,18.2,"41,933"
141,AR,Fulton County,19.4,"34,717"
142,AR,Garland County,19.3,"37,723"
143,AR,Grant County,13.2,"47,652"
144,AR,Greene County,17.1,"43,996"
145,AR,Hempstead County,24.1,"34,560"
146,AR,Hot Spring County,20.8,"39,851"
147,AR,Howard County,18.7,"33,199"
148,AR,Independence County,18.0,"38,241"
149,AR,Izard County,19.8,"35,355"
150,AR,Jackson County,27.5,"32,571"
151,AR,Jefferson County,26.5,"36,990"
152,AR,Johnson County,21.8,"35,877"
153,AR,Lafayette County,22.7,"33,864"
154,AR,Lawrence County,23.7,"34,808"
155,AR,Lee County,35.9,"28,481"
156,AR,Lincoln County,25.1,"40,216"
157,AR,Little River County,19.9,"39,265"
158,AR,Logan County,20.5,"37,924"
159,AR,Lonoke County,11.9,"56,240"
160,AR,Madison County,18.8,"41,007"
161,AR,Marion County,18.8,"34,946"
162,AR,Miller County,22.3,"39,005"
163,AR,Mississippi County,26.3,"34,888"
164,AR,Monroe County,30.9,"30,801"
165,AR,Montgomery County,21.8,"37,813"
166,AR,Nevada County,24.0,"35,914"
167,AR,Newton County,24.2,"33,679"
168,AR,Ouachita County,22.8,"37,987"
169,AR,Perry County,16.8,"43,020"
170,AR,Phillips County,37.3,"28,224"
171,AR,Pike County,18.5,"36,266"
172,AR,Poinsett County,23.9,"32,756"
173,AR,Polk County,24.4,"34,723"
174,AR,Pope County,20.8,"41,074"
175,AR,Prairie County,19.6,"39,518"
176,AR,Pulaski County,19.4,"46,473"
177,AR,Randolph County,17.6,"34,730"
178,AR,St. Francis County,30.7,"31,625"
179,AR,Saline County,10.7,"56,926"
180,AR,Scott County,20.8,"36,028"
181,AR,Searcy County,22.2,"30,427"
182,AR,Sebastian County,22.1,"41,452"
183,AR,Sevier County,20.8,"41,848"
184,AR,Sharp County,24.6,"32,095"
185,AR,Stone County,21.5,"32,023"
186,AR,Union County,19.7,"42,195"
187,AR,Van Buren County,19.0,"38,306"
188,AR,Washington County,16.9,"46,418"
189,AR,White County,19.7,"42,508"
190,AR,Woodruff County,25.8,"31,013"
191,AR,Yell County,17.8,"37,415"
192,CA,California,15.4,"64,483"
193,CA,Alameda County,11.5,"81,462"
194,CA,Alpine County,19.0,"50,882"
195,CA,Amador County,13.1,"55,879"
196,CA,Butte County,21.4,"45,369"
197,CA,Calaveras County,13.0,"52,471"
198,CA,Colusa County,13.2,"51,118"
199,CA,Contra Costa County,10.2,"83,036"
200,CA,Del Norte County,23.3,"38,963"
201,CA,El Dorado County,9.1,"75,575"
202,CA,Fresno County,25.2,"46,608"
203,CA,Glenn County,18.5,"43,584"
204,CA,Humboldt County,20.9,"40,739"
205,CA,Imperial County,24.3,"39,925"
206,CA,Inyo County,12.4,"51,697"
207,CA,Kern County,21.9,"51,150"
208,CA,Kings County,22.4,"46,440"
209,CA,Lake County,20.5,"37,993"
210,CA,Lassen County,17.1,"54,670"
211,CA,Los Angeles County,16.7,"59,045"
212,CA,Madera County,22.6,"46,593"
213,CA,Marin County,7.5,"99,868"
214,CA,Mariposa County,15.2,"44,595"
215,CA,Mendocino County,20.3,"43,237"
216,CA,Merced County,25.9,"42,879"
