,state,county,poverty_percent_17,median_household_income_17
3,US,United States,13.4,"60,336"
4,AL,Alabama,16.9,"48,193"
5,AL,Autauga County,13.4,"58,343"
6,AL,Baldwin County,10.1,"56,607"
7,AL,Barbour County,33.4,"32,490"
8,AL,Bibb County,20.2,"45,795"
9,AL,Blount County,12.8,"48,253"
10,AL,Bullock County,34.4,"29,113"
11,AL,Butler County,21.3,"36,842"
12,AL,Calhoun County,17.7,"45,937"
13,AL,Chambers County,18.2,"36,883"
14,AL,Cherokee County,17.2,"44,842"
15,AL,Chilton County,16.8,"46,405"
16,AL,Choctaw County,23.7,"36,711"
17,AL,Clarke County,23.3,"36,719"
18,AL,Clay County,18.1,"39,642"
19,AL,Cleburne County,16.1,"45,480"
20,AL,Coffee County,15.5,"51,998"
21,AL,Colbert County,15.4,"46,100"
22,AL,Conecuh County,23.7,"30,796"
23,AL,Coosa County,17.4,"42,442"
24,AL,Covington County,17.7,"39,093"
25,AL,Crenshaw County,19.9,"38,419"
26,AL,Cullman County,13.8,"45,925"
27,AL,Dale County,17.7,"42,572"
28,AL,Dallas County,27.9,"31,329"
29,AL,DeKalb County,19.5,"39,906"
30,AL,Elmore County,12.0,"59,652"
31,AL,Escambia County,23.3,"37,870"
32,AL,Etowah County,18.1,"41,791"
33,AL,Fayette County,19.4,"39,394"
34,AL,Franklin County,20.5,"41,025"
35,AL,Geneva County,21.7,"38,561"
36,AL,Greene County,33.2,"28,108"
37,AL,Hale County,25.1,"34,905"
38,AL,Henry County,17.0,"48,094"
39,AL,Houston County,16.6,"44,753"
40,AL,Jackson County,16.6,"42,658"
41,AL,Jefferson County,16.7,"50,731"
42,AL,Lamar County,18.7,"39,796"
43,AL,Lauderdale County,13.7,"46,646"
44,AL,Lawrence County,16.8,"42,912"
45,AL,Lee County,17.8,"51,372"
46,AL,Limestone County,11.9,"57,342"
47,AL,Lowndes County,25.9,"33,130"
48,AL,Macon County,30.6,"30,849"
49,AL,Madison County,12.8,"62,750"
50,AL,Marengo County,22.8,"37,469"
51,AL,Marion County,19.3,"38,049"
52,AL,Marshall County,20.1,"42,751"
53,AL,Mobile County,19.7,"45,615"
54,AL,Monroe County,23.8,"36,432"
55,AL,Montgomery County,21.3,"45,833"
56,AL,Morgan County,14.8,"49,274"
57,AL,Perry County,37.2,"26,703"
58,AL,Pickens County,22.3,"38,379"
59,AL,Pike County,27.7,"40,680"
60,AL,Randolph County,17.0,"41,112"
61,AL,Russell County,23.2,"36,186"
62,AL,St. Clair County,13.5,"52,755"
63,AL,Shelby County,7.4,"74,098"
64,AL,Sumter County,35.9,"26,495"
65,AL,Talladega County,18.3,"41,733"
66,AL,Tallapoosa County,18.3,"44,469"
67,AL,Tuscaloosa County,15.9,"51,644"
68,AL,Walker County,17.4,"41,925"
69,AL,Washington County,20.2,"44,249"
70,AL,Wilcox County,32.0,"25,700"
71,AL,Winston County,21.3,"38,562"
72,AK,Alaska,11.0,"74,058"
73,AK,Aleutians East Borough,14.6,"69,375"
74,AK,Aleutians West Census Area,8.1,"80,290"
75,AK,Anchorage Borough,9.6,"78,579"
76,AK,Bethel Census Area,28.7,"45,582"
77,AK,Bristol Bay Borough,10.9,"70,094"
78,AK,Denali Borough,8.0,"73,220"
79,AK,Dillingham Census Area,20.8,"52,641"
80,AK,Fairbanks North Star Borough,7.4,"74,241"
81,AK,Haines Borough,11.4,"53,413"
82,AK,Hoonah-Angoon Census Area,17.6,"50,573"
83,AK,Juneau Borough,8.3,"90,436"
84,AK,Kenai Peninsula Borough,10.2,"63,559"
85,AK,Ketchikan Gateway Borough,9.9,"71,298"
86,AK,Kodiak Island Borough,7.5,"71,118"
87,AK,Kusilvak Census Area,37.5,"31,250"
88,AK,Lake and Peninsula Borough,15.7,"47,644"
89,AK,Matanuska-Susitna Borough,11.3,"72,296"
90,AK,Nome Census Area,23.2,"53,877"
91,AK,North Slope Borough,12.2,"82,736"
92,AK,Northwest Arctic Borough,26.0,"53,060"
93,AK,Petersburg Borough,7.4,"59,176"
94,AK,Prince of Wales-Hyder Census Area,18.5,"46,488"
95,AK,Sitka Borough,8.1,"69,501"
96,AK,Skagway Municipality,4.3,"66,991"
97,AK,Southeast Fairbanks Census Area,12.8,"59,382"
98,AK,Valdez-Cordova Census Area,9.2,"86,196"
99,AK,Wrangell City and Borough,12.4,"55,696"
100,AK,Yakutat Borough,15.3,"59,955"
101,AK,Yukon-Koyukuk Census Area,23.2,"37,907"
102,AZ,Arizona,14.9,"56,508"
103,AZ,Apache County,33.1,"33,053"
104,AZ,Cochise County,16.1,"48,966"
105,AZ,Coconino County,18.4,"54,399"
106,AZ,Gila County,24.1,"38,897"
107,AZ,Graham County,20.9,"46,378"
108,AZ,Greenlee County,10.1,"63,557"
109,AZ,La Paz County,20.9,"36,389"
110,AZ,Maricopa County,13.5,"62,221"
111,AZ,Mohave County,17.3,"42,210"
112,AZ,Navajo County,26.4,"40,883"
113,AZ,Pima County,16.6,"51,392"
114,AZ,Pinal County,13.0,"53,114"
115,AZ,Santa Cruz County,23.6,"39,265"
116,AZ,Yavapai County,13.9,"49,860"
117,AZ,Yuma County,19.0,"46,013"
118,AR,Arkansas,16.3,"45,916"
119,AR,Arkansas County,19.9,"43,752"
120,AR,Ashley County,19.8,"40,495"
121,AR,Baxter County,13.9,"43,011"
122,AR,Benton County,9.1,"64,728"
123,AR,Boone County,14.9,"41,770"
124,AR,Bradley County,20.9,"35,950"
125,AR,Calhoun County,15.2,"42,484"
126,AR,Carroll County,16.4,"38,297"
127,AR,Chicot County,30.1,"31,810"
128,AR,Clark County,21.4,"40,536"
129,AR,Clay County,18.1,"35,164"
130,AR,Cleburne County,15.6,"43,170"
131,AR,Cleveland County,14.3,"47,812"
132,AR,Columbia County,25.5,"38,488"
133,AR,Conway County,17.2,"43,519"
134,AR,Craighead County,14.9,"49,355"
135,AR,Crawford County,17.5,"44,850"
136,AR,Crittenden County,21.1,"39,272"
137,AR,Cross County,18.4,"41,661"
138,AR,Dallas County,21.0,"33,739"
139,AR,Desha County,29.0,"33,228"
140,AR,Drew County,20.3,"41,339"
141,AR,Faulkner County,13.4,"51,535"
142,AR,Franklin County,18.0,"41,140"
143,AR,Fulton County,20.6,"35,723"
144,AR,Garland County,15.9,"44,662"
145,AR,Grant County,12.2,"54,819"
146,AR,Greene County,14.8,"46,029"
147,AR,Hempstead County,24.2,"39,505"
148,AR,Hot Spring County,16.8,"42,329"
149,AR,Howard County,19.1,"36,744"
150,AR,Independence County,15.9,"42,332"
151,AR,Izard County,19.3,"37,958"
152,AR,Jackson County,22.2,"36,235"
153,AR,Jefferson County,23.5,"38,677"
154,AR,Johnson County,18.4,"39,798"
155,AR,Lafayette County,24.1,"33,378"
156,AR,Lawrence County,16.9,"40,777"
157,AR,Lee County,37.3,"28,875"
158,AR,Lincoln County,23.4,"43,821"
159,AR,Little River County,17.0,"42,063"
160,AR,Logan County,20.5,"37,676"
161,AR,Lonoke County,11.1,"54,378"
162,AR,Madison County,17.0,"40,568"
163,AR,Marion County,18.3,"39,539"
164,AR,Miller County,18.8,"44,325"
165,AR,Mississippi County,24.3,"39,678"
166,AR,Monroe County,27.3,"32,427"
167,AR,Montgomery County,21.1,"35,500"
168,AR,Nevada County,19.5,"46,687"
169,AR,Newton County,19.8,"34,036"
170,AR,Ouachita County,19.9,"39,576"
171,AR,Perry County,15.1,"44,118"
172,AR,Phillips County,39.8,"27,663"
173,AR,Pike County,18.5,"37,493"
174,AR,Poinsett County,21.0,"39,778"
175,AR,Polk County,23.3,"35,678"
176,AR,Pope County,16.7,"45,803"
177,AR,Prairie County,16.1,"43,139"
178,AR,Pulaski County,15.0,"52,361"
179,AR,Randolph County,19.4,"35,989"
180,AR,St. Francis County,33.7,"31,561"
181,AR,Saline County,7.9,"61,384"
182,AR,Scott County,20.6,"33,354"
183,AR,Searcy County,21.6,"30,640"
184,AR,Sebastian County,18.6,"44,058"
185,AR,Sevier County,19.5,"41,649"
186,AR,Sharp County,23.9,"34,266"
187,AR,Stone County,21.2,"32,778"
188,AR,Union County,17.5,"43,827"
189,AR,Van Buren County,19.8,"36,244"
190,AR,Washington County,13.8,"50,400"
191,AR,White County,15.2,"44,088"
192,AR,Woodruff County,26.8,"32,271"
193,AR,Yell County,18.8,"40,325"
194,CA,California,13.3,"71,785"
195,CA,Alameda County,9.3,"95,550"
196,CA,Alpine County,18.1,"55,755"
197,CA,Amador County,10.9,"60,588"
198,CA,Butte County,18.1,"48,634"
199,CA,Calaveras County,13.1,"58,536"
200,CA,Colusa County,12.2,"53,595"
201,CA,Contra Costa County,9.1,"95,062"
202,CA,Del Norte County,24.6,"39,996"
203,CA,El Dorado County,8.3,"78,464"
204,CA,Fresno County,21.1,"51,452"
205,CA,Glenn County,14.8,"49,979"
206,CA,Humboldt County,19.7,"46,123"
207,CA,Imperial County,20.7,"43,413"
208,CA,Inyo County,11.8,"53,528"
209,CA,Kern County,21.2,"49,904"
210,CA,Kings County,18.4,"55,076"
211,CA,Lake County,20.2,"45,797"
212,CA,Lassen County,16.3,"58,776"
213,CA,Los Angeles County,14.9,"64,912"
