,abbreviation,state,poverty_percent_16,median_household_income_16
3,US,United States,14.0,"57,617"
4,AL,Alabama,17.2,"46,309"
5,AK,Alaska,9.9,"76,144"
6,AZ,Arizona,16.4,"53,481"
7,AR,Arkansas,17.2,"44,406"
8,CA,California,14.4,"67,715"
9,CO,Colorado,11.0,"65,718"
10,CT,Connecticut,9.9,"73,380"
11,DE,Delaware,11.8,"62,112"
12,DC,District of Columbia,18.5,"74,093"
13,FL,Florida,14.8,"50,857"
14,GA,Georgia,16.1,"53,468"
15,HI,Hawaii,9.5,"74,659"
16,ID,Idaho,13.8,"51,647"
17,IL,Illinois,13.0,"60,977"
18,IN,Indiana,14.0,"52,289"
19,IA,Iowa,11.7,"56,354"
20,KS,Kansas,12.2,"54,828"
21,KY,Kentucky,18.2,"46,610"
22,LA,Louisiana,20.1,"45,374"
23,ME,Maine,12.3,"52,926"
24,MD,Maryland,9.7,"78,787"
25,MA,Massachusetts,10.5,"75,207"
26,MI,Michigan,14.9,"52,436"
27,MN,Minnesota,9.9,"65,583"
28,MS,Mississippi,21.0,"41,793"
29,MO,Missouri,14.0,"51,713"
30,MT,Montana,13.4,"50,265"
31,NE,Nebraska,11.3,"56,979"
32,NV,Nevada,14.1,"55,201"
33,NH,New Hampshire,7.6,"70,986"
34,NJ,New Jersey,10.4,"76,212"
35,NM,New Mexico,19.1,"46,844"
36,NY,New York,14.8,"62,700"
37,NC,North Carolina,15.4,"50,595"
38,ND,North Dakota,10.5,"61,898"
39,OH,Ohio,14.5,"52,357"
40,OK,Oklahoma,16.1,"49,204"
41,OR,Oregon,13.4,"57,379"
42,PA,Pennsylvania,12.9,"56,897"
43,RI,Rhode Island,13.3,"60,046"
44,SC,South Carolina,15.3,"49,587"
45,SD,South Dakota,12.9,"54,926"
46,TN,Tennessee,15.8,"48,506"
47,TX,Texas,15.6,"56,583"
48,UT,Utah,10.2,"65,931"
49,VT,Vermont,11.3,"57,661"
50,VA,Virginia,11.0,"68,127"
51,WA,Washington,11.3,"67,064"
52,WV,West Virginia,17.9,"43,175"
53,WI,Wisconsin,11.8,"56,808"
54,WY,Wyoming,10.9,"61,686"
