,LocationDesc,LocationAbbr,Sample_Size,Latitude,Longitude,Data_Value
0,Alabama,AL,7304.0,32.84057112200048,-86.63186076199969,32.0
1,Alabama,AL,8651.0,32.84057112200048,-86.63186076199969,33.0
2,Alabama,AL,6244.0,32.84057112200048,-86.63186076199969,32.4
3,National,US,398316.0,,,28.9
4,Alabama,AL,8190.0,32.84057112200048,-86.63186076199969,33.5
5,Alaska,AK,3336.0,64.84507995700051,-147.7220590359997,27.4
6,Alaska,AK,4093.0,64.84507995700051,-147.7220590359997,25.7
7,Alaska,AK,4396.0,64.84507995700051,-147.7220590359997,28.4
8,Alaska,AK,4142.0,64.84507995700051,-147.7220590359997,29.7
9,Arizona,AZ,6150.0,34.86597028000045,-111.76381127699972,25.1
10,Arizona,AZ,6951.0,34.86597028000045,-111.76381127699972,26.0
11,Arizona,AZ,4029.0,34.86597028000045,-111.76381127699972,26.8
12,Arizona,AZ,13849.0,34.86597028000045,-111.76381127699972,28.9
13,Arkansas,AR,4527.0,34.74865012400045,-92.27449074299965,30.9
14,Arkansas,AR,4943.0,34.74865012400045,-92.27449074299965,34.5
15,Arkansas,AR,5023.0,34.74865012400045,-92.27449074299965,34.6
16,Arkansas,AR,4886.0,34.74865012400045,-92.27449074299965,35.9
17,California,CA,13646.0,37.63864012300047,-120.99999953799973,25.0
18,California,CA,17088.0,37.63864012300047,-120.99999953799973,23.8
19,California,CA,10669.0,37.63864012300047,-120.99999953799973,24.1
20,California,CA,8025.0,37.63864012300047,-120.99999953799973,24.7
21,Colorado,CO,12976.0,38.84384075700047,-106.13361092099969,20.7
22,Colorado,CO,11643.0,38.84384075700047,-106.13361092099969,20.5
23,Colorado,CO,12920.0,38.84384075700047,-106.13361092099969,21.3
24,Colorado,CO,12567.0,38.84384075700047,-106.13361092099969,21.3
25,Connecticut,CT,6457.0,41.56266102000046,-72.64984095199965,24.5
26,Connecticut,CT,8312.0,41.56266102000046,-72.64984095199965,25.6
27,Connecticut,CT,7309.0,41.56266102000046,-72.64984095199965,25.0
28,Delaware,DE,4530.0,39.008830667000495,-75.57774116799966,28.8
29,Connecticut,CT,7237.0,41.56266102000046,-72.64984095199965,26.3
30,Delaware,DE,4944.0,39.008830667000495,-75.57774116799966,26.9
31,Delaware,DE,4893.0,39.008830667000495,-75.57774116799966,31.1
32,Delaware,DE,3983.0,39.008830667000495,-75.57774116799966,30.7
33,District of Columbia,DC,4368.0,38.89037138500049,-77.03196112699966,23.7
34,District of Columbia,DC,3644.0,38.89037138500049,-77.03196112699966,21.9
35,District of Columbia,DC,4705.0,38.89037138500049,-77.03196112699966,22.9
36,District of Columbia,DC,3787.0,38.89037138500049,-77.03196112699966,21.7
37,Florida,FL,11770.0,28.93204037700048,-81.92896053899965,26.6
38,Florida,FL,7282.0,28.93204037700048,-81.92896053899965,25.2
39,Florida,FL,32552.0,28.93204037700048,-81.92896053899965,26.4
40,Florida,FL,9156.0,28.93204037700048,-81.92896053899965,26.2
41,Georgia,GA,9353.0,32.83968109300048,-83.62758034599966,28.0
42,Georgia,GA,5737.0,32.83968109300048,-83.62758034599966,29.1
43,Georgia,GA,7606.0,32.83968109300048,-83.62758034599966,30.3
44,Georgia,GA,5844.0,32.83968109300048,-83.62758034599966,30.5
45,Guam,GU,2352.0,13.444304,144.793731,28.0
46,Hawaii,HI,7407.0,21.30485043500045,-157.85774940299973,21.8
47,Hawaii,HI,7371.0,21.30485043500045,-157.85774940299973,23.6
48,Hawaii,HI,7609.0,21.30485043500045,-157.85774940299973,21.8
