STATE NAME,RC-ALCOHOL DEPENDENCE OR ABUSE - PAST YEAR,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count SE
GEORGIA,1 - Yes,0.001,0.0001,0.001,0.002,0.023,0.0026,0.019,0.029,0.041,0.005,0.032,0.052,345000,40000
UTAH,Overall,0.009,0.0004,0.008,0.01,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,2429000,112000
IOWA,0 - No/Unknown,0.009,0.0003,0.008,0.01,0.009,0.0003,0.009,0.01,0.922,0.0075,0.906,0.936,2409000,89000
ARKANSAS,Overall,0.009,0.0004,0.008,0.01,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,2475000,116000
KANSAS,0 - No/Unknown,0.008,0.0003,0.008,0.009,0.009,0.0004,0.008,0.01,0.95,0.0062,0.936,0.961,2254000,92000
INDIANA,1 - Yes,0.001,0.0001,0.001,0.001,0.02,0.0025,0.016,0.026,0.054,0.0064,0.043,0.068,298000,37000
WEST VIRGINIA,1 - Yes,0,0,0,0,0.004,0.0005,0.003,0.005,0.038,0.0048,0.03,0.049,59000,7000
UTAH,1 - Yes,0,0.0001,0,0.001,0.008,0.0013,0.005,0.011,0.046,0.0075,0.033,0.063,112000,20000
TENNESSEE,0 - No/Unknown,0.02,0.0009,0.018,0.022,0.021,0.001,0.019,0.023,0.957,0.0056,0.945,0.967,5348000,251000
Overall,1 - Yes,0.055,0.0009,0.053,0.057,1,0,N/A,N/A,0.055,0.0009,0.053,0.057,14840000,255000
NORTH CAROLINA,1 - Yes,0.001,0.0001,0.001,0.002,0.024,0.0027,0.019,0.03,0.042,0.0046,0.033,0.052,352000,40000
NORTH DAKOTA,1 - Yes,0,0,0,0,0.003,0.0003,0.002,0.004,0.07,0.0072,0.057,0.086,43000,5000
NEW HAMPSHIRE,1 - Yes,0,0,0,0,0.005,0.0006,0.004,0.006,0.063,0.0072,0.05,0.078,72000,9000
TEXAS,1 - Yes,0.004,0.0003,0.003,0.004,0.069,0.0057,0.059,0.081,0.045,0.0036,0.039,0.053,1023000,89000
MISSISSIPPI,0 - No/Unknown,0.009,0.0004,0.008,0.009,0.009,0.0004,0.008,0.01,0.962,0.0058,0.949,0.972,2354000,101000
ALABAMA,1 - Yes,0.001,0.0001,0,0.001,0.012,0.0015,0.009,0.015,0.042,0.0055,0.033,0.054,172000,22000
MONTANA,Overall,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,878000,32000
OHIO,Overall,0.036,0.0008,0.034,0.038,0.036,0.0008,0.034,0.038,1,0,N/A,N/A,9760000,227000
ALASKA,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,585000,26000
SOUTH DAKOTA,0 - No/Unknown,0.002,0.0001,0.002,0.003,0.003,0.0001,0.002,0.003,0.92,0.0095,0.899,0.937,647000,26000
KENTUCKY,Overall,0.014,0.0004,0.013,0.015,0.014,0.0004,0.013,0.015,1,0,N/A,N/A,3693000,123000
ARKANSAS,1 - Yes,0,0.0001,0,0.001,0.009,0.001,0.007,0.011,0.051,0.0055,0.042,0.063,127000,15000
HAWAII,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,1159000,50000
KENTUCKY,1 - Yes,0.001,0.0001,0,0.001,0.012,0.0017,0.009,0.015,0.046,0.0066,0.035,0.061,171000,25000
ILLINOIS,1 - Yes,0.002,0.0002,0.002,0.003,0.045,0.0037,0.038,0.053,0.062,0.005,0.053,0.073,668000,56000
NEBRASKA,Overall,0.006,0.0002,0.005,0.006,0.006,0.0002,0.005,0.006,1,0,N/A,N/A,1564000,57000
