STATE NAME,WHEN PRBLMS WORST FELT SAD/EMPTY/DPRSD EVERY DAY,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count SE
NORTH DAKOTA,2 - No,0,0,0,0,0.002,0.0004,0.002,0.003,0.031,0.0052,0.023,0.043,19000,3000
MONTANA,Overall,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,878000,32000
OKLAHOMA,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
UTAH,1 - Yes,0.001,0.0001,0.001,0.002,0.011,0.0009,0.01,0.013,0.146,0.0103,0.127,0.168,356000,28000
Overall,98 - BLANK,0.007,0.0004,0.007,0.008,1,0,N/A,N/A,0.007,0.0004,0.007,0.008,1981000,110000
WYOMING,98 - BLANK,0,0,0,0,0.001,0.0005,0,0.003,0.004,0.002,0.002,0.011,2000,1000
NEW HAMPSHIRE,1 - Yes,0.001,0.0001,0.001,0.001,0.006,0.0005,0.005,0.007,0.163,0.0127,0.139,0.189,188000,15000
NEW MEXICO,94 - DON T KNOW,0,0,0,0,0.007,0.0073,0.001,0.051,0.001,0.0006,0,0.005,1000,1000
KANSAS,98 - BLANK,0,0,0,0,0.001,0.0008,0,0.004,0.001,0.0007,0,0.004,3000,2000
MAINE,2 - No,0,0,0,0,0.006,0.0011,0.005,0.009,0.046,0.0076,0.033,0.064,54000,9000
ALASKA,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,585000,26000
OKLAHOMA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
VERMONT,94 - DON T KNOW,0,0,0,0,0.002,0.0018,0,0.013,0.001,0.0005,0,0.004,0,0
SOUTH DAKOTA,99 - LEGITIMATE SKIP,0.002,0.0001,0.002,0.002,0.003,0.0001,0.002,0.003,0.861,0.0117,0.836,0.882,606000,26000
ARIZONA,Overall,0.021,0.0009,0.02,0.023,0.021,0.0009,0.02,0.023,1,0,N/A,N/A,5788000,242000
MASSACHUSETTS,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
NEW HAMPSHIRE,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,1158000,45000
CONNECTICUT,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
