,state,Yes,No,Total,factor,No%,yes_percent
0,ALABAMA,22000,179000,201000,10.945273631840797,89.0547263681592,68.85245901639344
1,ALASKA,4000,25000,29000,13.79310344827586,86.20689655172413,63.63636363636363
2,ARIZONA,36000,235000,271000,13.284132841328413,86.71586715867159,66.66666666666666
3,ARKANSAS,15000,111000,126000,11.904761904761903,88.09523809523809,68.42105263157895
4,CALIFORNIA,119000,638000,757000,15.71994715984148,84.28005284015853,67.03296703296702
5,COLORADO,38000,187000,225000,16.88888888888889,83.1111111111111,69.47368421052633
6,CONNECTICUT,23000,120000,143000,16.083916083916083,83.91608391608392,69.23076923076923
7,DELAWARE,8000,32000,40000,20.0,80.0,66.66666666666666
8,FLORIDA,67000,471000,538000,12.453531598513012,87.54646840148699,65.74585635359118
9,GEORGIA,40000,333000,373000,10.723860589812332,89.27613941018767,67.54385964912281
10,HAWAII,8000,47000,55000,14.545454545454545,85.45454545454545,70.0
11,IDAHO,9000,49000,58000,15.517241379310345,84.48275862068967,60.0
12,ILLINOIS,56000,268000,324000,17.28395061728395,82.71604938271605,63.80952380952379
13,INDIANA,37000,209000,246000,15.040650406504069,84.95934959349594,66.30434782608695
14,IOWA,23000,89000,112000,20.535714285714285,79.46428571428571,64.1025641025641
15,KANSAS,15000,92000,107000,14.018691588785044,85.98130841121497,64.86486486486487
16,KENTUCKY,25000,119000,144000,17.36111111111111,82.6388888888889,72.72727272727273
17,LOUISIANA,33000,140000,173000,19.07514450867052,80.9248554913295,67.79661016949152
18,MAINE,8000,42000,50000,16.0,84.0,64.0
19,MARYLAND,31000,186000,217000,14.285714285714285,85.71428571428571,69.14893617021278
20,MASSACHUSETTS,54000,255000,309000,17.475728155339805,82.52427184466019,65.76576576576578
21,MICHIGAN,39000,197000,236000,16.52542372881356,83.47457627118644,67.46987951807229
22,MINNESOTA,32000,191000,223000,14.349775784753366,85.65022421524664,68.6046511627907
23,MISSISSIPPI,15000,101000,116000,12.93103448275862,87.06896551724138,70.58823529411767
24,MISSOURI,38000,159000,197000,19.289340101522843,80.71065989847716,60.63829787234043
25,MONTANA,8000,31000,39000,20.51282051282051,79.48717948717949,60.0
26,NEBRASKA,11000,56000,67000,16.417910447761194,83.5820895522388,59.09090909090909
27,NEVADA,19000,101000,120000,15.833333333333332,84.16666666666667,68.75
28,NEW HAMPSHIRE,9000,43000,52000,17.307692307692307,82.69230769230771,65.21739130434783
29,NEW JERSEY,34000,320000,354000,9.604519774011301,90.3954802259887,70.43478260869566
30,NEW MEXICO,11000,56000,67000,16.417910447761194,83.5820895522388,77.27272727272727
31,NEW YORK,74000,389000,463000,15.982721382289414,84.01727861771056,70.76023391812865
32,NORTH CAROLINA,40000,260000,300000,13.333333333333336,86.66666666666669,71.68141592920355
33,NORTH DAKOTA,5000,27000,32000,15.625,84.375,70.0
34,OHIO,48000,225000,273000,17.582417582417587,82.41758241758241,71.42857142857143
35,OKLAHOMA,33000,129000,162000,20.37037037037037,79.62962962962962,71.42857142857143
36,OREGON,31000,120000,151000,20.52980132450331,79.47019867549669,68.85245901639344
37,PENNSYLVANIA,42000,277000,319000,13.166144200626958,86.83385579937305,63.91752577319587
38,RHODE ISLAND,7000,36000,43000,16.27906976744186,83.72093023255816,62.5
39,SOUTH CAROLINA,34000,201000,235000,14.468085106382976,85.53191489361703,64.38356164383562
40,SOUTH DAKOTA,8000,26000,34000,23.529411764705877,76.47058823529412,72.72727272727273
41,TENNESSEE,34000,251000,285000,11.929824561403509,88.0701754385965,78.72340425531915
42,TEXAS,89000,551000,640000,13.90625,86.09375,75.28089887640449
43,UTAH,20000,105000,125000,16.0,84.0,66.66666666666666
44,VERMONT,6000,20000,26000,23.07692307692308,76.92307692307693,70.0
45,VIRGINIA,41000,233000,274000,14.963503649635037,85.03649635036497,66.3157894736842
46,WASHINGTON,51000,290000,341000,14.956011730205278,85.04398826979472,65.46762589928058
47,WEST VIRGINIA,7000,50000,57000,12.280701754385964,87.71929824561403,65.625
48,WISCONSIN,38000,218000,256000,14.84375,85.15625,64.44444444444444
49,WYOMING,3000,20000,23000,13.043478260869565,86.95652173913044,62.5
